id,scientificName,eventDate,decimalLongitude,decimalLatitude,collectionCode
00f8dbba-859c-4e2a-97a3-7a4a7eaebd5f,Isurus oxyrinchus,2/11/2012,176.033,-37.05,MPI Tagging
0109de28-8e55-4986-8c1b-43c14207a515,Isurus oxyrinchus,2/20/2011,173.017,-34.35,MPI Tagging
0113cb8f-fec8-48f4-97fc-249d6837a2ac,Isurus oxyrinchus,2002-05-23T00:00:00Z,-91.7583313,26.47500038,
011b8705-e418-4af7-90a5-ea148caa5407,Isurus oxyrinchus,2004-11-04T00:00:00Z,-73.73333359,37.875,
0122a20e-7347-4997-8c13-682cd4ae9b07,Isurus oxyrinchus,3/9/1997,174.566667,-35.616667,MPI Tagging
012f4a75-27f5-4f20-b204-3234448fb30f,Isurus oxyrinchus,2002,155.25,-29.75,Comfish_2000_2002
012ffb75-30f5-4018-8a2f-2c2245466cc7,Isurus oxyrinchus,1/19/1986,176.883333,-37.816667,MPI Tagging
0131967f-b4f2-4bc6-9733-f42bd212a62c,Isurus oxyrinchus,,42.77126667,-3.972466667,ll_YugNIRO
0138360a-34e4-4128-86cf-ac35046b8be7,Isurus oxyrinchus,2/9/2012,174.6,-38.317,MPI Tagging
013a7e9a-9cf9-4887-b92e-0c02d76b0e8f,Isurus oxyrinchus,2004-09-21T00:00:00Z,-50.60833359,42.79999924,
013bdb3f-de95-4996-ae0d-80218d53f664,Isurus oxyrinchus,2004-08-11T00:00:00Z,-66.70000076,40.70833397,
013ea948-ef0e-40c8-aaa4-9cfe1ab0bf34,Isurus oxyrinchus,3/28/2010,174,-39.05,MPI Tagging
0142e10f-59a2-4e00-9dab-b96ecf02bf44,Isurus oxyrinchus,1994-10-18T00:00:00Z,-70.625,39.80833244,
014681bf-366a-48b1-ae91-98bae0f956f5,Isurus oxyrinchus,2003-08-06T00:00:00Z,-67.58333588,40.35833168,
014d2659-81d7-40e3-affc-e6a58cd84d26,Isurus oxyrinchus,1995-07-22T00:00:00Z,-41.47499847,45.05000114,
014e2031-035b-446a-a958-4ab629cb1ab7,Isurus oxyrinchus,,10.133472,-4.9668055,DCR (IRD)
014f4350-556a-4987-a804-845de68b6004,Isurus oxyrinchus,2001-11-19T00:00:00Z,-73.67499924,38.16666794,
0150a55e-5d28-497f-8571-f9ee0086f3c3,Isurus oxyrinchus,1999-06-02T00:00:00Z,-51.24166679,42.56666756,
01668852-a968-454b-a694-fb0e536186e7,Isurus oxyrinchus,,61.9558,-11.73783333,ll_YugNIRO
016bec5b-0f18-4c62-9631-f45b56b2579f,Isurus oxyrinchus,2/13/1999,174.269167,-37.2745,MPI Tagging
01725c2b-f715-42e2-9787-fc1df5c429f8,Isurus oxyrinchus,5/5/2004,174.396667,-36.2785,MPI Tagging
0174f540-e6bc-469b-b7b5-292346e4376d,Isurus oxyrinchus,2001-11-11T00:00:00Z,-71,39.81666565,
0192205e-9966-4f8b-be1a-4e971a072265,Isurus oxyrinchus,,-7.516805,3.8668058,DCR (IRD)
01936982-3b3d-4b57-8807-cfe4cb67e9c3,Isurus oxyrinchus,2001,158.25,-25.75,Comfish_2000_2002
019dc25a-ea6e-4452-a902-2afacfeedb56,Isurus oxyrinchus,1994-07-24T00:00:00Z,-47.80833244,42.65833282,
01c6a47a-fdde-4fd5-821f-0bb97d7cc9c3,Isurus oxyrinchus,10/5/1996,173.833333,-34.95,MPI Tagging
01d6b851-f99d-4473-8623-2eb62575fe22,Isurus oxyrinchus,2001,113.25,-32.75,Comfish_2000_2002
01d73834-59bb-421c-8e52-52fb66e4d2ab,Isurus oxyrinchus,1/1/1999,152.15,-32.733,co112
01e48048-5f24-4bc5-9a7d-60897597aa34,Isurus oxyrinchus,1995-07-24T00:00:00Z,-41.86666489,45.34166718,
01f1e6b1-4710-4241-a21f-9d84361aa9cc,Isurus oxyrinchus,1992-11-12T00:00:00Z,-51.33333397,42.05833244,
01f5250b-57bc-4147-8aa4-e0158565a7f4,Isurus oxyrinchus,2000,150.75,-36.25,Comfish_2000_2002
020751f0-9e1c-47c1-b905-14f2b30ee459,Isurus oxyrinchus,2/18/2011,175.858,-36.772,MPI Tagging
02085467-a28c-4bf6-bfad-3e60320e293d,Isurus oxyrinchus,1995-09-03T00:00:00Z,-92.94166565,21.65833378,
02091d1b-d103-41f5-aa08-8a252d037c10,Isurus oxyrinchus,5/8/1997,173.653333,-34.946667,MPI Tagging
020ce18c-9402-4426-b970-5490db6eddfe,Isurus oxyrinchus,2/20/2011,174,-39.05,MPI Tagging
020e9663-fcc9-42e2-8d49-80fe1ef6d784,Isurus oxyrinchus,8/27/1984,174.25,-33.333333,MPI Tagging
0212d257-09c0-457a-8b8e-6157ba71379b,Isurus oxyrinchus,5/9/2004,174.725,-35.626667,MPI Tagging
02187e05-7459-43e3-ac7e-a993cd64e2d4,Isurus oxyrinchus,1993-08-10T00:00:00Z,-72.34999847,38.25,
021a4112-9990-4ec7-ac9d-0bd8913fbe38,Isurus oxyrinchus,2004-05-25T00:00:00Z,-78.35833359,29.85833359,
021d756d-8de3-4536-8fb9-bafedaebf56e,Isurus oxyrinchus,3/3/1986,174.4,-35.35,MPI Tagging
022701af-2d7a-443e-af95-5b0e5393a8f0,Isurus oxyrinchus,1993-06-29T00:00:00Z,-51.21666718,41.67499924,
0233fb59-332d-4bfb-b120-064d85d31492,Isurus oxyrinchus,,66.2516,-2.419266667,ll_YugNIRO
0236ece5-ecaa-4fe0-b77e-d5c2f20899fb,Isurus oxyrinchus,2002,160.75,-30.25,Comfish_2000_2002
024300f9-2f90-4199-98d3-902c912803e0,Isurus oxyrinchus,1995-05-09T00:00:00Z,-48.73333359,14.3166666,
0248fb9e-3c4d-417f-b761-ec3a4e627fe2,Isurus oxyrinchus,2/27/1997,174.725,-35.55,MPI Tagging
024e87e6-04d6-462e-92b9-634add13e617,Isurus oxyrinchus,2007-02-17T12:35:00,-63.2644,18.2815,Diveboard
025bea9b-3de9-44de-bd3d-53d2a4c20725,Isurus oxyrinchus,2/4/2010,174.2,-37.077,MPI Tagging
0262390d-6260-4467-8039-a1a658dd33a3,Isurus oxyrinchus,1992-06-18T00:00:00Z,-89.67499924,28.4333334,
0274153d-89d7-4479-bada-95636e23d9df,Isurus oxyrinchus,2005-04-28T00:00:00Z,-91.79999924,26.54166603,
02781f46-a53d-4ba5-a24a-44ca69257645,Isurus oxyrinchus,1993-06-04T12:00:00Z,18.35499954,-34.05279922,LINE
027bc932-e45c-41c3-9598-fdfd98f28dec,Isurus oxyrinchus,2002,154.25,-24.25,Comfish_2000_2002
027dd251-1240-4731-88bb-9f75f61cde4c,Isurus oxyrinchus,,56.41926667,7.0503,ll_YugNIRO
02819734-ee68-4235-92fe-06674c356a08,Isurus oxyrinchus,1995-02-25T12:00:00Z,18.1753006,-32.74140167,LINE
02829fc6-51bf-4725-be9d-044afd6872d5,Isurus oxyrinchus,1/14/2012,174.55,-35.567,MPI Tagging
028392b8-8412-4685-a09f-78041082cf3e,Isurus oxyrinchus,8/15/2011,174.483,-33.017,MPI Tagging
02868fa2-a824-4008-8acb-345ed11cdf84,Isurus oxyrinchus,5/19/1996,150.164165,-37.38192,CMAR_SEFHES
02996d53-f118-4add-8d72-7a85058088a0,Isurus oxyrinchus,,30.86330032,-30.10169983,SHARKS
029be6b4-9887-477f-86c7-26f4c892835e,Isurus oxyrinchus,2002,114.25,-32.25,Comfish_2000_2002
029ec87f-e139-4d15-a235-4bf73e873050,Isurus oxyrinchus,2003-04-29T00:00:00Z,-90.46666336,28.0583334,
02b89c1a-903f-4677-849d-9afd7ae9a6bc,Isurus oxyrinchus,2001,156.25,-28.25,Comfish_2000_2002
02bf98c7-352a-400b-9718-1f43df1d8f3e,Isurus oxyrinchus,4/5/1997,173.683333,-34.94,MPI Tagging
02d93499-2fbc-4697-9094-d6558800d419,Isurus oxyrinchus,,47.72106667,13.41917667,ll_YugNIRO
02def803-3c95-4319-8ba4-bcf03104864e,Isurus oxyrinchus,,58.28503333,0.1509,ll_YugNIRO
02f18e15-7982-4538-b432-c5ccdfb308b0,Isurus oxyrinchus,2005-01-28T00:00:00Z,-81.97499847,24.24166584,
02f3d9b3-6184-4562-b5a1-0dcfc1e99e54,Isurus oxyrinchus,2/19/2009,174.364167,-37.606667,MPI Tagging
02f7fdb5-9716-4f74-afa7-ca4efa290d0a,Isurus oxyrinchus,,48.1006,1.65392,ll_YugNIRO
02fc5174-ecbc-4f62-9016-f665408e23a1,Isurus oxyrinchus,2/16/2002,174.666667,-37.633333,MPI Tagging
0308fbd9-b264-4447-86b6-426020c3a95a,Isurus oxyrinchus,1992-07-29T00:00:00Z,-46.06666756,43.63333321,
030a7c4b-3866-4228-a9c6-4784cc98612e,Isurus oxyrinchus,2/8/2006,174.167,-38.967,MPI Tagging
030c740f-e353-401f-8e42-4dadd2a132be,Isurus oxyrinchus,2004-09-22T00:00:00Z,-50.80833244,42.90000153,
030ed521-5b7d-4290-b11d-642a0c594da2,Isurus oxyrinchus,1998-04-15T12:00:00Z,18.49720001,-34.35689926,LINE
03168b82-902e-41d4-82de-a1fc96a41ab2,Isurus oxyrinchus,2001,153.75,-27.25,Comfish_2000_2002
0316f5ac-5dfc-4a97-a36b-3d9c69619bd4,Isurus oxyrinchus,2004-02-05T00:00:00Z,-74.58333588,36.06666565,
031f9b72-3cda-4105-9751-57b25e60591e,Isurus oxyrinchus,4/9/2011,174.477,-35.237,MPI Tagging
